car_name,manufactured by,city,fuel_type,km_driven,colour,no_of_owners,mfg_year,price
Ameo,Volkswagen,Mumbai,Petrol,58190.0,White,First,2016.0,489000.0
Duster,Renault,Bangalore,Diesel,63673.0,Grey,First,2018.0,1025000.0
Yaris,Toyota,Mumbai,Petrol,27177.0,White,First,2019.0,850000.0
City,Honda,Delhi,Diesel,5000.0,White,First,2021.0,1450000.0
Seltos,Kia,Bangalore,Petrol,42556.0,Grey,First,2020.0,1699000.0
A4,Audi,Bangalore,Diesel,104000.0,Black,First,2014.0,1390000.0
Venue,Hyundai,Kanpur,Diesel,38000.0,Grey,First,2021.0,1135000.0
Compass,Jeep,Thane,Diesel,73079.0,Red,First,2017.0,1375000.0
City,Honda,Mumbai,Petrol,35594.0,White,First,2017.0,840000.0
Grand i10,Hyundai,Thane,Petrol,25028.0,Maroon,First,2013.0,395000.0
i10,Hyundai,Thane,Petrol,41273.0,Silver,First,2014.0,345000.0
BR-V,Honda,Thane,Petrol,61277.0,White,First,2016.0,795000.0
Ciaz,Maruti Suzuki,Thane,Petrol,48279.0,Brown,First,2017.0,740000.0
Compass,Jeep,Nagpur,Diesel,90631.0,White,First,2018.0,1400000.0
Tiago,Tata,Thane,Petrol,34867.0,Silver,Second,2017.0,475000.0
Grand i10,Hyundai,Mumbai,Petrol,16943.0,White,First,2018.0,475000.0
Jazz,Honda,Mumbai,Petrol,34420.0,White,First,2016.0,625000.0
Elite i20,Hyundai,Mumbai,Petrol,23549.0,White,First,2020.0,699000.0
Redigo,Datsun,Mumbai,Petrol,1391.0,Silver,First,2019.0,345000.0
Kwid,Renault,Bangalore,Petrol,22539.0,Grey,First,2018.0,460000.0
Grand i10,Hyundai,Mumbai,Petrol,4098.0,Silver,First,2017.0,475000.0
i20 Active,Hyundai,Mumbai,Petrol,12243.0,White,First,2016.0,599000.0
Jazz,Honda,Mumbai,Petrol,27208.0,Bronze,First,2018.0,745000.0
Celerio,Maruti Suzuki,Mumbai,Petrol,42500.0,Silver,First,2016.0,415000.0
Ciaz,Maruti Suzuki,Mumbai,Diesel,49908.0,Blue,First,2018.0,765000.0
Swift,Maruti Suzuki,Mumbai,Petrol,21973.0,White,Second,2013.0,351000.0
Elite i20,Hyundai,Mumbai,Diesel,63332.0,White,First,2016.0,685000.0
Alto 800,Maruti Suzuki,Kolkata,Petrol,28767.0,Grey,First,2017.0,269000.0
City,Honda,Kolkata,Diesel,47453.0,Grey,First,2014.0,499000.0
Innova,Toyota,Mumbai,Diesel,81401.0,Grey,First,2016.0,1821000.0
Verna,Hyundai,Kolkata,Diesel,57734.0,Red,First,2017.0,700000.0
City,Honda,Mumbai,Petrol,48146.0,Silver,First,2015.0,725000.0
DZire,Maruti Suzuki,Chennai,Petrol,11800.0,Blue,First,2020.0,875000.0
Jazz,Honda,Bangalore,Petrol,18344.0,Silver,First,2018.0,880000.0
Duster,Renault,Lucknow,Diesel,88000.0,White,First,2014.0,420000.0
Venue,Hyundai,Lucknow,Diesel,43000.0,Blue,First,2020.0,990000.0
GLC,Mercedes-Benz,Mumbai,Petrol,27000.0,Red,First,2019.0,4900000.0
Evoque,Land Rover,Kolkata,Diesel,27481.0,White,First,2018.0,3649000.0
Q5,Audi,Mumbai,Diesel,42000.0,White,First,2018.0,4800000.0
i10,Hyundai,Bangalore,Petrol,76000.0,Blue,Second,2009.0,285000.0
City,Honda,Mumbai,Petrol,35594.0,White,First,2017.0,840000.0
Grand i10,Hyundai,Thane,Petrol,25028.0,Maroon,First,2013.0,395000.0
i10,Hyundai,Thane,Petrol,41273.0,Silver,First,2014.0,345000.0
BR-V,Honda,Thane,Petrol,61277.0,White,First,2016.0,795000.0
Ciaz,Maruti Suzuki,Thane,Petrol,48279.0,Brown,First,2017.0,740000.0
Celerio,Maruti Suzuki,Mumbai,Petrol,42500.0,Silver,First,2016.0,415000.0
Ciaz,Maruti Suzuki,Mumbai,Diesel,49908.0,Blue,First,2018.0,765000.0
i20 Active,Hyundai,Mumbai,Petrol,12243.0,White,First,2016.0,599000.0
Jazz,Honda,Mumbai,Petrol,27208.0,Bronze,First,2018.0,745000.0
Swift,Maruti Suzuki,Mumbai,Petrol,21973.0,White,Second,2013.0,351000.0
Grand i10,Hyundai,Mumbai,Petrol,4098.0,Silver,First,2017.0,475000.0
Redigo,Datsun,Mumbai,Petrol,1391.0,Silver,First,2019.0,345000.0
Kwid,Renault,Bangalore,Petrol,22539.0,Grey,First,2018.0,460000.0
Sunny,Nissan,Bangalore,Petrol,73053.0,Silver,First,2013.0,495000.0
Grand i10,Hyundai,Mumbai,Petrol,16943.0,White,First,2018.0,475000.0
Jazz,Honda,Mumbai,Petrol,34420.0,White,First,2016.0,625000.0
Elite i20,Hyundai,Mumbai,Petrol,23549.0,White,First,2020.0,699000.0
Compass,Jeep,Nagpur,Diesel,90631.0,White,First,2018.0,1400000.0
Tiago,Tata,Thane,Petrol,34867.0,Silver,Second,2017.0,475000.0
City,Honda,Mumbai,Petrol,33613.0,White,First,2016.0,795000.0
Alto 800,Maruti Suzuki,Kolkata,Petrol,28767.0,Grey,First,2017.0,269000.0
Figo,Ford,Mumbai,Petrol,68149.0,White,Second,2014.0,251000.0
Innova,Toyota,Mumbai,Diesel,81401.0,Grey,First,2016.0,1821000.0
Safari,Tata,Mumbai,Diesel,19774.0,Blue,First,2021.0,2121000.0
Grand i10 NIOS,Hyundai,Kanpur,Petrol,4597.0,White,First,2022.0,850000.0
Swift DZire,Maruti Suzuki,Pune,Petrol,77000.0,Beige,Second,2009.0,260000.0
C-Class,Mercedes-Benz,Faridabad,Diesel,65000.0,White,First,2020.0,3900000.0
Evoque,Land Rover,Faridabad,Diesel,56000.0,Red,Second,2013.0,1700000.0
Figo,Ford,Hyderabad,Petrol,24000.0,White,First,2019.0,595000.0
Terrano,Nissan,Dehradun,Diesel,82000.0,Green,First,2014.0,380000.0
Vento,Volkswagen,Chennai,Diesel,109100.0,Black,Second,2011.0,385000.0
Baleno,Maruti Suzuki,Dehradun,Petrol,21700.0,Grey,First,2019.0,665000.0
City,Honda,Mumbai,Petrol,35594.0,White,First,2017.0,840000.0
Grand i10,Hyundai,Thane,Petrol,25028.0,Maroon,First,2013.0,395000.0
i10,Hyundai,Thane,Petrol,41273.0,Silver,First,2014.0,345000.0
BR-V,Honda,Thane,Petrol,61277.0,White,First,2016.0,795000.0
Ciaz,Maruti Suzuki,Thane,Petrol,48279.0,Brown,First,2017.0,740000.0
Compass,Jeep,Nagpur,Diesel,90631.0,White,First,2018.0,1400000.0
Tiago,Tata,Thane,Petrol,34867.0,Silver,Second,2017.0,475000.0
Grand i10,Hyundai,Mumbai,Petrol,16943.0,White,First,2018.0,475000.0
Jazz,Honda,Mumbai,Petrol,34420.0,White,First,2016.0,625000.0
Elite i20,Hyundai,Mumbai,Petrol,23549.0,White,First,2020.0,699000.0
Redigo,Datsun,Mumbai,Petrol,1391.0,Silver,First,2019.0,345000.0
Kwid,Renault,Bangalore,Petrol,22539.0,Grey,First,2018.0,460000.0
Grand i10,Hyundai,Mumbai,Petrol,4098.0,Silver,First,2017.0,475000.0
i20 Active,Hyundai,Mumbai,Petrol,12243.0,White,First,2016.0,599000.0
Jazz,Honda,Mumbai,Petrol,27208.0,Bronze,First,2018.0,745000.0
Celerio,Maruti Suzuki,Mumbai,Petrol,42500.0,Silver,First,2016.0,415000.0
Ciaz,Maruti Suzuki,Mumbai,Diesel,49908.0,Blue,First,2018.0,765000.0
Swift,Maruti Suzuki,Mumbai,Petrol,21973.0,White,Second,2013.0,351000.0
Elite i20,Hyundai,Mumbai,Diesel,63332.0,White,First,2016.0,685000.0
Alto 800,Maruti Suzuki,Kolkata,Petrol,28767.0,Grey,First,2017.0,269000.0
City,Honda,Kolkata,Diesel,47453.0,Grey,First,2014.0,499000.0
Innova,Toyota,Mumbai,Diesel,81401.0,Grey,First,2016.0,1821000.0
Verna,Hyundai,Kolkata,Diesel,57734.0,Red,First,2017.0,700000.0
City,Honda,Mumbai,Petrol,48146.0,Silver,First,2015.0,725000.0
City,Honda,Mumbai,Petrol,69200.0,Gold,First,2014.0,540000.0
Creta,Hyundai,Mumbai,Petrol,18000.0,Black,First,2020.0,1875000.0
Etios,Toyota,Pune,Petrol,87698.0,Silver,Second,2012.0,370000.0
Duster,Renault,Mumbai,Diesel,58000.0,Blue,Second,2014.0,475000.0
GLE,Mercedes-Benz,Delhi,Diesel,9000.0,White,First,2022.0,9000000.0
XUV500,Mahindra,Lucknow,Diesel,54154.0,Red,Second,2018.0,1595299.0
Innova,Toyota,Delhi,Diesel,15000.0,Silver,First,2020.0,2200000.0
A6,Audi,Delhi,Petrol,10000.0,White,First,2021.0,5875000.0
City,Honda,Mumbai,Petrol,35594.0,White,First,2017.0,840000.0
Grand i10,Hyundai,Thane,Petrol,25028.0,Maroon,First,2013.0,395000.0
i10,Hyundai,Thane,Petrol,41273.0,Silver,First,2014.0,345000.0
BR-V,Honda,Thane,Petrol,61277.0,White,First,2016.0,795000.0
Ciaz,Maruti Suzuki,Thane,Petrol,48279.0,Brown,First,2017.0,740000.0
Compass,Jeep,Nagpur,Diesel,90631.0,White,First,2018.0,1400000.0
Tiago,Tata,Thane,Petrol,34867.0,Silver,Second,2017.0,475000.0
Grand i10,Hyundai,Mumbai,Petrol,16943.0,White,First,2018.0,475000.0
Jazz,Honda,Mumbai,Petrol,34420.0,White,First,2016.0,625000.0
Elite i20,Hyundai,Mumbai,Petrol,23549.0,White,First,2020.0,699000.0
Redigo,Datsun,Mumbai,Petrol,1391.0,Silver,First,2019.0,345000.0
Kwid,Renault,Bangalore,Petrol,22539.0,Grey,First,2018.0,460000.0
Grand i10,Hyundai,Mumbai,Petrol,4098.0,Silver,First,2017.0,475000.0
i20 Active,Hyundai,Mumbai,Petrol,12243.0,White,First,2016.0,599000.0
Jazz,Honda,Mumbai,Petrol,27208.0,Bronze,First,2018.0,745000.0
Celerio,Maruti Suzuki,Mumbai,Petrol,42500.0,Silver,First,2016.0,415000.0
Ciaz,Maruti Suzuki,Mumbai,Diesel,49908.0,Blue,First,2018.0,765000.0
Swift,Maruti Suzuki,Mumbai,Petrol,21973.0,White,Second,2013.0,351000.0
Elite i20,Hyundai,Mumbai,Diesel,63332.0,White,First,2016.0,685000.0
Alto 800,Maruti Suzuki,Kolkata,Petrol,28767.0,Grey,First,2017.0,269000.0
City,Honda,Kolkata,Diesel,47453.0,Grey,First,2014.0,499000.0
Innova,Toyota,Mumbai,Diesel,81401.0,Grey,First,2016.0,1821000.0
Verna,Hyundai,Kolkata,Diesel,57734.0,Red,First,2017.0,700000.0
City,Honda,Mumbai,Petrol,48146.0,Silver,First,2015.0,725000.0
Alto 800,Maruti Suzuki,Kanpur,Petrol,62000.0,Maroon,Second,2015.0,250000.0
Jazz,Honda,Bangalore,Petrol,47000.0,White,First,2017.0,770000.0
Wagon R,Maruti Suzuki,Delhi,Petrol,27310.0,Silver,First,2013.0,265000.0
Rapid,Skoda,Hyderabad,Petrol,28082.0,White,Second,2015.0,720000.0
Creta,Hyundai,Mumbai,Petrol,61000.0,White,First,2016.0,890000.0
WR-V,Honda,Ludhiana,Petrol,62000.0,Grey,First,2017.0,745000.0
Swift,Maruti Suzuki,Vadodara,Petrol,58000.0,White,First,2017.0,525000.0
Celerio,Maruti Suzuki,Guwahati,Petrol,38000.0,White,First,2015.0,365000.0
City,Honda,Mumbai,Petrol,35594.0,White,First,2017.0,840000.0
Grand i10,Hyundai,Thane,Petrol,25028.0,Maroon,First,2013.0,395000.0
i10,Hyundai,Thane,Petrol,41273.0,Silver,First,2014.0,345000.0
BR-V,Honda,Thane,Petrol,61277.0,White,First,2016.0,795000.0
Ciaz,Maruti Suzuki,Thane,Petrol,48279.0,Brown,First,2017.0,740000.0
Tiago,Tata,Thane,Petrol,34867.0,Silver,Second,2017.0,475000.0
Compass,Jeep,Nagpur,Diesel,90631.0,White,First,2018.0,1400000.0
Elite i20,Hyundai,Mumbai,Petrol,23549.0,White,First,2020.0,699000.0
Grand i10,Hyundai,Mumbai,Petrol,16943.0,White,First,2018.0,475000.0
Jazz,Honda,Mumbai,Petrol,34420.0,White,First,2016.0,625000.0
Kwid,Renault,Bangalore,Petrol,22539.0,Grey,First,2018.0,460000.0
Celerio,Maruti Suzuki,Mumbai,Petrol,42500.0,Silver,First,2016.0,415000.0
